home_team,away_team,league,kickoff,home_odds,draw_odds,away_odds,over_0_5_odds,under_0_5_odds,over_1_5_odds,under_1_5_odds,over_2_5_odds,under_2_5_odds,over_3_0_odds,under_3_0_odds,over_3_5_odds,under_3_5_odds,btts_yes_odds,btts_no_odds,home_over_0_5_odds,home_under_0_5_odds,home_over_1_5_odds,home_under_1_5_odds,home_over_2_5_odds,home_under_2_5_odds,away_over_0_5_odds,away_under_0_5_odds,away_over_1_5_odds,away_under_1_5_odds,away_over_2_5_odds,away_under_2_5_odds,handicap_line,handicap_home_odds,handicap_away_odds
Chelsea,Nott'm Forest,EPL,2026-05-04 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cremonese,Lazio,SerieA,2026-05-05 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roma,Fiorentina,SerieA,2026-05-05 02:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Everton,Man City,EPL,2026-05-05 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Sociedad,LaLiga,2026-05-05 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dortmund,Ein Frankfurt,Bundesliga,2026-05-09 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lens,Nantes,L1,2026-05-09 02:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Torino,Sassuolo,SerieA,2026-05-09 02:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Levante,Osasuna,LaLiga,2026-05-09 03:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liverpool,Chelsea,EPL,2026-05-09 19:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elche,Alaves,LaLiga,2026-05-09 20:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cagliari,Udinese,SerieA,2026-05-09 21:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augsburg,M'gladbach,Bundesliga,2026-05-09 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hoffenheim,Werder Bremen,Bundesliga,2026-05-09 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RB Leipzig,St Pauli,Bundesliga,2026-05-09 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuttgart,Leverkusen,Bundesliga,2026-05-09 21:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton,Wolves,EPL,2026-05-09 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fulham,Bournemouth,EPL,2026-05-09 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunderland,Man United,EPL,2026-05-09 22:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sevilla,Espanol,LaLiga,2026-05-09 22:15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazio,Inter Milan,SerieA,2026-05-10 00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wolfsburg,Bayern Munich,Bundesliga,2026-05-10 00:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
